# Exult Usecode Dialogue Translation Dictionary
# English source<TAB>Chinese translation
# Generated: 2026-06-17 10:30:00
# Entries: 11391
#
# To deploy: Copy this file to your Exult <PATCH>/ directory
# as 'usecode_translations.txt'.
#
# Lines starting with '#' are comments.
# Format: English source text<tab>Chinese translation text
============================================================

! And good luck to thee!"*	「祝你好運！」*
! Fly from this place at once! I shall provide escort for thee with my bow. Return at thy peril,	「快離開這裡！我會用我的弓護送你離開。再回來就要冒險了！」
! Help me!!"	「幫幫我！！」
! However, thou mayest have some trouble convincing those who do not know thy face.~~"Of course, thou -shouldst- be safe around thy friends!"	「但是，你可能會遇到一些麻煩，因為有些人不認識你。」~~「當然，你應該在朋友身邊很安全！」
! I admit I do sell Silver Serpent Venom to other places besides the Apothecary. But what I am doing is not -precisely- against the law!"	「我承認，我賣銀蛇毒給其他地方的藥劑師。但是，我做的事情不是完全違法！」
! I earn my gold with this sword arm," he says as he flexes a mighty bicep. "Right now I am in Jhelom continuing my studies in my trade with De Snel, and when I am finished my price is going to go up!"	「我靠這把劍來賺取金幣，」他說，同時展示他的強壯手臂。「現在，我在傑洛姆繼續我的學徒生涯，當我完成後，我的價格就會上漲！」
! I shall never miss New Magincia!"	「我永遠不會錯過新馬吉尼亞！」
! I would wager that thou dost say that to all the barmaids!"	「我想，你對所有的酒吧女服務員都這麼說！」
! If I did not trust the infallibility of mine own eyes, I would not believe it! I was just thinking to myself, 'If only the Avatar were here!' Then...~~"Lo and behold! Who says that magic is dying! Here is living proof that it is not!~~ "Dost thou realize,	「如果我不相信自己的眼睛，我就不會相信！我剛剛在想，『如果只有阿凡達在這裡！』然後……~~「看哪！誰說魔法正在消失！這裡就是活生生的證據！」~~「你知道嗎，」他說，「如果不是你，我就會迷失了。」
! If not for thee, I would be lost."	「如果不是你，我就會迷失了。」
! If thou wilt leave something behind, mayhaps thou wilt be able to sail, and I will be glad, indeed, to sell thee the deed."~Gargan sneezes.	「如果你願意留下什麼東西，可能你就能夠航行，我會很高興地賣給你這份契約。」~加爾根打了個噴嚏。
! It is hearsay!"*	「這只是傳聞！」*
! Mine husband was pardoned by Lord British. He even provided Weston with short-term employment so that he may return to me with money enough in his pockets to feed us for some time!~~"Excellent news, no?"	! 我的丈夫被布列塔尼亞王赦免了，他甚至提供了韋斯頓短期的工作機會，這樣他就可以帶著足夠的錢回來養活我們一段時間！~~"這是個好消息，不是嗎？"
! Perhaps honesty shall lift thee above the	! 也許誠實會讓你脫離貧困
! That means I owe thee	! 這意味著我欠你
! The box is open! Certainly, one as diligent as thee could not have been robbed?"	! 盒子打開了！你這麼勤奮的人不可能被搶劫吧？"
! Thou	! 你
! Thou didst just enjoy thyself, didst thou not? Please come back when thou art rested!"*	! 你只是在享受自己吧？請休息一下再回來吧！"*
! Thy soul shall wail in the catacombs of the netherworld!"	! 你的靈魂將在陰間的墓穴中哀號！"
! Who knows what evil this strange creature might possess!" He inspects the sprite more closely. "Mayhaps I should try it first to be sure it is safe..."*	! 誰知道這個奇怪的生物可能會帶來什麼邪惡！" 他仔細檢查精靈。 "也許我應該先試試看，以確保它是安全的..."*
! You damn	! 你這個該死的
! You have nothing to lose but your	! 你沒有什麼可失去的，只有你的
!" Katrina greets you with a smile.	!" 卡特琳娜帶著微笑迎接你。
!" Nastassia says.	!" 納斯塔西婭說。
!" Sherry the Mouse exclaims.	!" 謝里老鼠驚呼。
!" says a wide-eyed Constance, "What may I do for thee?"	!" 一個目瞪口呆的康斯坦斯說，"我可以為你做什麼？"
"'Bye!"*	!"別了！"*
"'I' want to absorb the information in Alagner's 'notebook'. If 'you' bring the 'notebook' here, the Undrian Council will release information useful to 'you'. Do 'you' agree to the trade?"	"'我' 想要吸收 Alagner 的 '筆記本' 中的資訊。如果 '你' 把 '筆記本' 帶來這裡，Undrian Council 會提供對 '你' 有用的資訊。你同意這個交易嗎?"
"'The Nymphet' is thine,	"'The Nymphet' 是你的，
"'Til next time,	"'下次再見，
"'Tis Willy the Baker! But he does not know it yet!" she giggles.	"'我是 Willy the Baker！但他不知道這一點！" 她咯咯地笑著。
"'Tis a fabulous place to work. I absolutely love it. I would not work anywhere else. I have more gold than I could possibly spend."	"'這裡是個工作的好地方。我非常喜歡這裡。我不會在別的地方工作。我有比我能花的還多的金錢。"
"'Tis a life-size board game. I have a book around here somewhere which contains the rules."	"'這是一個真人大小的棋盤遊戲。我在這裡有一本書，裡面包含了遊戲規則。"
"'Tis a long story. Cosmo is looking for the unicorn that supposedly inhabits this cavern." He looks you in the eye and shrugs.~~"He is a fool."	"'這是一個很長的故事。Cosmo 正在尋找據說住在這個洞穴的獨角獸。" 他看著你，聳聳肩。~~"他是個傻瓜。"
"'Tis a long story. I shall probably be dead before I can finish it."	"'這是一個很長的故事。我可能會在我能完成它之前死去。"
"'Tis a lovely space in which to perform. I have dedicated my life to acting, thou knowest."	"'這是一個表演的好地方。我已經把我的生命獻給了演戲，你知道的。"
"'Tis a pity few truly comprehend the value of strategy and tactics. Thou mayest hack and slash with thy sword all that thou wilt, but it cannot do thy thinking for thee."	"'很少有人真正了解戰略和戰術的價值。你可以用你的劍盡情砍殺，但它不能替你思考。"
"'Tis a pity that thou art marooned here."	"'很可惜你被困在這裡。"
"'Tis a pity thou art unavailable. Thou dost look like one who doth know their way around a kitchen."	"'很可惜你不在這裡。你看起來像是個懂得如何在廚房工作的人。"
"'Tis a pleasure to do business with thee, Sir Dupre! And welcome to my pub!"	"'很高興能和你做生意，Sir Dupre！歡迎來到我的酒館！"
"'Tis a pleasure to see thee again, Julia."*	"'很高興再次見到你，Julia。"*
"'Tis a puzzlement! Camille promised to make a delivery of wheat to me sometime today and it is late. I wonder where it could be."	"'這是一個令人困惑的事情！Camille 許諾今天會把麥子送給我，但現在已經晚了。我不知道它在哪裡。"
"'Tis a sad state for Britannia when events such as these happen. Christopher was a good man. I hope that the villain is caught."	"' Britannia 的狀況真令人難過。克里斯多福是一個好人，我希望兇手會被抓到。"
"'Tis a sad thing that Britannia has fallen so far as to leave itself open to a group like this Fellowship."*	"' Britannia 落到這種地步，讓像這樣的團體有機會出現，真是令人遺憾。"*
"'Tis a sad thing to see so many people who have nothing else better in their lives than blindly following this dubious spiritual leader."*	"' 看到這麼多人沒有更好的事情做，只是盲目地跟隨這個可疑的精神領袖，真是令人難過。"*
"'Tis a sad thing when I cannot even keep my eyes open from the boredom of this Fellowship ceremony!"*	"' 我甚至因為這個團體的儀式而感到無聊到睏倦，真是令人難過！"*
"'Tis a shame,	"' 真是可惜，
"'Tis a singing group I play with. We play at The Blue Boar every evening. Please, come listen to us." Neno leans in to whisper, "But I plan to begin performing alone very soon. I am obviously the most talented member of the quartet."	"' 我和一群人組成一個唱歌的團體，我們每天晚上在 The Blue Boar 演出。請來聽我們的表演。" Neno 靠近你耳朵說，" 但我很快就會開始單獨表演。我明顯是這個四重奏中最有才華的成員。"
"'Tis a terrible thing to be happening in our town, these murders. Minoc was once a safe and quiet place."	"' 這些謀殺事件發生在我們的城鎮，真是可怕的事情。 Minoc 曾經是一個安全而寧靜的地方。"
"'Tis a very pleasant town,	"' 這是一個很愉快的城鎮，
"'Tis a woman, I know that, but I do not know her name."	"' 我知道她是一個女人，但我不知道她的名字。"
"'Tis a wonderful space, dost thou not think? 'Twas opened only last year, thanks to the sponsorship of a few wealthy citizens of our great city."	"' 這是一個美好的地方，你不這麼認為嗎？ 這裡是在去年由我們偉大城市的一些富有的公民贊助下開放的。"
"'Tis about time that the government did something about the awful stench coming from that lake! I shall be happy to sign thy bill of law! Take it back to the Great Council post haste!" Lord Heather signs the bill and hands it back to you.	"' 終於有人關心那個湖的可怕氣味了！ 我很樂意簽署你的法案！ 把它帶回給偉大議會！" Lord Heather 簽署了法案並把它交給你。
"'Tis about time thou didst ask again!"	"' 你終於又問了！"
"'Tis all gone,	"' 一切都沒有了，
"'Tis always a pleasure to speak with thee, my friend."*	"' 和你聊天總是很愉快，我的朋友。"*
"'Tis an honor to meet thee, Avatar."	"' 能夠遇見你，Avatar，真是我的榮幸。"
"'Tis as I suspected. Bollux thought he must sacrifice his own heart to return my life."~If you were to believe it possible, you would feel positive you had just seen a drop of water fall from the golem's right eye.~"The poor fool gave his life for mine. I can only hope I would have done the same.~"Doing so now, however, would help nothing, for once I was gone Bollux would simply repeat his act." You hear a sigh come from the golem.	"'我早就料到會是這樣。波魯克斯想必認為必須犧牲自己的心臟來換回我的生命。"~如果你相信這是可能的，你會覺得自己肯定剛剛看到了一滴水從石像的右眼掉下。~"可憐的傻瓜為了我的生命犧牲了自己。我只希望自己也會這樣做。~"但現在這樣做幫不到什麼，因為一旦我走了，波魯克斯就會再次重複他的行為。"你聽到石像發出一聲嘆息。
"'Tis awful, is it not? Of course, I was home with Klog all night."	"'真是糟糕啊！當然，我昨晚一直在家裡和克羅格在一起。"
